ABORT_PENALTY,CC_ALG,COMPILE_ONLY,LATCH,NDEBUG,OUTPUT_TO_FILE,READ_PERC,SYNTHETIC_YCSB,THREAD_CNT,UNSET_NUMA,WARMUP_NO_WAIT,WORKLOAD,ZIPF_THETA,abort_cnt,abort_cnt_long,abort_length,cascading_abort_cnt,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,lock_acquire_cnt,lock_directly_cnt,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,unwarmed_up_commit_latency,unwarmed_up_txn_cnt,user_abort_cnt,wait_cnt,warmed_up_commit_latency,warmed_up_txn_cnt
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.5,false,32,true,true,YCSB,0.9, 488098, 0, 0, 0, 0, 45631,0,0,0,0, 128266, 0, 0, 0, 39.0045,249981, 25.1005, 0.659555, 0, 0, 0, 0, 0.849088, 4.38806, 26.9001, 0, 0, 0, 0, 0, 0, 0, 304700, 0, 214558, 28, 0, 0, 45616, 304672
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.5,false,16,true,true,YCSB,0.9, 130566, 0, 0, 0, 0, 42675,0,0,0,0, 82850, 0, 0, 0, 12.5574,193402, 6.07977, 0.216421, 0, 0, 0, 0, 0.576566, 2.38043, 7.14115, 0, 0, 0, 0, 0, 0, 0, 151789, 0, 224291, 28, 0, 0, 42641, 151761
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.5,false,8,true,true,YCSB,0.9, 34830, 0, 0, 0, 0, 41575,0,0,0,0, 61240, 0, 0, 0, 4.6797,130728, 1.50041, 0.0710639, 0, 0, 0, 0, 0.613482, 1.21633, 1.87627, 0, 0, 0, 0, 0, 0, 0, 76471, 0, 152707, 22, 0, 0, 41543, 76449
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.5,false,4,true,true,YCSB,0.9, 8351, 0, 0, 0, 0, 38382,0,0,0,0, 46501, 0, 0, 0, 1.78126,86053.6, 0.310419, 0.0257002, 0, 0, 0, 0, 0.253625, 0.720291, 0.450909, 0, 0, 0, 0, 0, 0, 0, 38321, 0, 94233, 18, 0, 0, 38355, 38303
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.5,false,2,true,true,YCSB,0.9, 1338, 0, 0, 0, 0, 48178,0,0,0,0, 51609, 0, 0, 0, 0.870417,38758.4, 0.0577415, 0.00849452, 0, 0, 0, 0, 0.257601, 0.409623, 0.0729799, 0, 0, 0, 0, 0, 0, 0, 16868, 0, 115255, 42, 0, 0, 48011, 16826
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.5,false,1,true,true,YCSB,0.9, 0, 0, 0, 0, 0, 6723,0,0,0,0, 6723, 0, 0, 0, 0.067235,148732, 0, 0.00108557, 0, 0, 0, 0, 0.00259606, 0.020149, 0.000177734, 0, 0, 0, 0, 0, 0, 0, 10000, 0, 6723, 10000, 0, 0, 0, 0
