ABORT_PENALTY,CC_ALG,COMPILE_ONLY,LATCH,NDEBUG,OUTPUT_TO_FILE,READ_PERC,SYNTHETIC_YCSB,THREAD_CNT,UNSET_NUMA,WARMUP_NO_WAIT,WORKLOAD,ZIPF_THETA,abort_cnt,abort_cnt_long,abort_length,cascading_abort_cnt,cascading_abort_times,commit_latency,cycle_detect,deadlock_cnt,dl_detect_time,dl_wait_time,latency,lock_acquire_cnt,lock_directly_cnt,max_abort_length,run_time,throughput,time_abort,time_cleanup,time_commit,time_copy,time_get_cs,time_get_latch,time_index,time_man,time_query,time_release_cs,time_release_latch,time_retire_cs,time_retire_latch,time_semaphore_cs,time_ts_alloc,time_wait,txn_cnt,txn_cnt_long,unwarmed_up_commit_latency,unwarmed_up_txn_cnt,user_abort_cnt,wait_cnt,warmed_up_commit_latency,warmed_up_txn_cnt
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,8,true,true,YCSB,0.999, 34905, 0, 0, 0, 0, 34381,0,0,0,0, 54327, 0, 0, 0, 4.11333,147382, 1.5079, 0.0858621, 0, 0, 0, 0, 0.571466, 0.966471, 1.87987, 0, 0, 0, 0, 0, 0, 0, 75779, 0, 134474, 40, 0, 0, 34329, 75739
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,4,true,true,YCSB,0.3, 0, 0, 0, 0, 0, 44872,0,0,0,0, 44872, 0, 0, 0, 1.55721,89141.4, 0, 0.0220226, 0, 0, 0, 0, 0.399395, 0.931992, 0.00149971, 0, 0, 0, 0, 0, 0, 0, 34703, 0, 44872, 34703, 0, 0, 0, 0
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,4,true,true,YCSB,0.5, 0, 0, 0, 0, 0, 57101,0,0,0,0, 57101, 0, 0, 0, 2.13287,70050.1, 0, 0.0275774, 0, 0, 0, 0, 0.739155, 1.14051, 0.00184977, 0, 0, 0, 0, 0, 0, 0, 37352, 0, 57101, 37352, 0, 0, 0, 0
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,4,true,true,YCSB,0.7, 38, 0, 0, 0, 0, 39846,0,0,0,0, 39878, 0, 0, 0, 1.47504,100306, 0.00116633, 0.023197, 0, 0, 0, 0, 0.37481, 0.865932, 0.0036398, 0, 0, 0, 0, 0, 0, 0, 36989, 0, 68517, 5139, 0, 0, 35220, 31850
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,4,true,true,YCSB,0.9, 2404, 0, 0, 0, 0, 37631,0,0,0,0, 39986, 0, 0, 0, 1.47827,100055, 0.0867576, 0.0246015, 0, 0, 0, 0, 0.410365, 0.708666, 0.130554, 0, 0, 0, 0, 0, 0, 0, 36977, 0, 120682, 33, 0, 0, 37557, 36944
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,4,true,true,YCSB,0.999, 7977, 0, 0, 0, 0, 26728,0,0,0,0, 33999, 0, 0, 0, 1.29505,117719, 0.276328, 0.0267298, 0, 0, 0, 0, 0.188921, 0.449408, 0.425912, 0, 0, 0, 0, 0, 0, 0, 38113, 0, 48108, 19, 0, 0, 26718, 38094
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,2,true,true,YCSB,0.3, 0, 0, 0, 0, 0, 71017,0,0,0,0, 71017, 0, 0, 0, 1.32491,28161.9, 0, 0.00892902, 0, 0, 0, 0, 0.525992, 0.685063, 0.000574327, 0, 0, 0, 0, 0, 0, 0, 18656, 0, 71017, 18656, 0, 0, 0, 0
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,2,true,true,YCSB,0.5, 1, 0, 0, 0, 0, 55395,0,0,0,0, 55397, 0, 0, 0, 1.00479,36103, 3.144e-05, 0.00801151, 0, 0, 0, 0, 0.373312, 0.520825, 0.000582516, 0, 0, 0, 0, 0, 0, 0, 18138, 0, 55521, 18032, 0, 0, 33993, 106
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,2,true,true,YCSB,0.7, 12, 0, 0, 0, 0, 59042,0,0,0,0, 59081, 0, 0, 0, 0.987839,33851.7, 0.000642718, 0.00746601, 0, 0, 0, 0, 0.387826, 0.505679, 0.00113516, 0, 0, 0, 0, 0, 0, 0, 16720, 0, 109925, 1425, 0, 0, 54302, 15295
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,2,true,true,YCSB,0.9, 376, 0, 0, 0, 0, 41192,0,0,0,0, 42126, 0, 0, 0, 0.650601,47479.2, 0.0143796, 0.00746419, 0, 0, 0, 0, 0.25089, 0.301091, 0.0209825, 0, 0, 0, 0, 0, 0, 0, 15445, 0, 151849, 86, 0, 0, 40573, 15359
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,2,true,true,YCSB,0.999, 1242, 0, 0, 0, 0, 27280,0,0,0,0, 29695, 0, 0, 0, 0.479343,67363, 0.0389007, 0.00849583, 0, 0, 0, 0, 0.11587, 0.215569, 0.069003, 0, 0, 0, 0, 0, 0, 0, 16145, 0, 79734, 20, 0, 0, 27215, 16125
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,1,true,true,YCSB,0.3, 0, 0, 0, 0, 0, 34735,0,0,0,0, 34735, 0, 0, 0, 0.347356,28788.9, 0, 0.00143267, 0, 0, 0, 0, 0.171652, 0.0876472, 0.000189493, 0, 0, 0, 0, 0, 0, 0, 10000, 0, 34735, 10000, 0, 0, 0, 0
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,1,true,true,YCSB,0.5, 0, 0, 0, 0, 0, 58794,0,0,0,0, 58794, 0, 0, 0, 0.587945,17008.4, 0, 0.00178559, 0, 0, 0, 0, 0.210787, 0.298436, 0.000202975, 0, 0, 0, 0, 0, 0, 0, 10000, 0, 58794, 10000, 0, 0, 0, 0
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,1,true,true,YCSB,0.7, 0, 0, 0, 0, 0, 9275,0,0,0,0, 9275, 0, 0, 0, 0.0927545,107812, 0, 0.00107721, 0, 0, 0, 0, 0.00288458, 0.0159412, 0.000183847, 0, 0, 0, 0, 0, 0, 0, 10000, 0, 9275, 10000, 0, 0, 0, 0
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,1,true,true,YCSB,0.9, 0, 0, 0, 0, 0, 7119,0,0,0,0, 7119, 0, 0, 0, 0.0711926,140464, 0, 0.00105963, 0, 0, 0, 0, 0.00250965, 0.0122257, 0.000182629, 0, 0, 0, 0, 0, 0, 0, 10000, 0, 7119, 10000, 0, 0, 0, 0
10000,NO_WAIT,false,LH_MCSLOCK,true,true,0.9,false,1,true,true,YCSB,0.999, 0, 0, 0, 0, 0, 4868,0,0,0,0, 4868, 0, 0, 0, 0.0486881,205389, 0, 0.00104553, 0, 0, 0, 0, 0.00234387, 0.00943848, 0.000177347, 0, 0, 0, 0, 0, 0, 0, 10000, 0, 4868, 10000, 0, 0, 0, 0
